Position, Jerk, Y Point, Heading, X Point, Acceleration, Delta Time, Velocity, 
0.000311, 4.981831, 13.500000, 0.000090, 4.000147, 0.249092, 50, 0.012455, 
0.001085, -3.771570, 13.500000, 0.000561, 4.000921, 0.060513, 50, 0.015480, 
0.002826, 6.520827, 13.500002, 0.001623, 4.002662, 0.386554, 50, 0.034808, 
0.005916, 3.067199, 13.500010, 0.003515, 4.005752, 0.539914, 50, 0.061804, 
0.010734, 3.028554, 13.500034, 0.006480, 4.010570, 0.691342, 50, 0.096371, 
0.017652, 2.965467, 13.500094, 0.010772, 4.017488, 0.839615, 50, 0.138352, 
0.027028, 2.872203, 13.500222, 0.016653, 4.026862, 0.983226, 50, 0.187513, 
0.039204, 2.743551, 13.500472, 0.024404, 4.039036, 1.120403, 50, 0.243533, 
0.054316, 1.070355, 13.500915, 0.034201, 4.054141, 1.173921, 50, 0.302229, 
0.072291, -0.571181, 13.501636, 0.046117, 4.072102, 1.145362, 50, 0.359497, 
0.093045, -0.669142, 13.502738, 0.060235, 4.092827, 1.111905, 50, 0.415092, 
0.116486, -0.752538, 13.504340, 0.076649, 4.116213, 1.074278, 50, 0.468806, 
0.142510, -0.813731, 13.506576, 0.095461, 4.142141, 1.033591, 50, 0.520486, 
0.171013, -0.842326, 13.509593, 0.116776, 4.170484, 0.991475, 50, 0.570060, 
0.201891, -0.824723, 13.513555, 0.140697, 4.201107, 0.950239, 50, 0.617571, 
0.235053, -0.743958, 13.518639, 0.167317, 4.233876, 0.913041, 50, 0.663224, 
0.270424, -0.580151, 13.525039, 0.196708, 4.268663, 0.884033, 50, 0.707425, 
0.307966, -0.311898, 13.532965, 0.228910, 4.305360, 0.868438, 50, 0.750847, 
0.347690, 0.080820, 13.542652, 0.263911, 4.343884, 0.872479, 50, 0.794471, 
0.389671, 0.611921, 13.554364, 0.301637, 4.384198, 0.903076, 50, 0.839625, 
0.434070, 1.282718, 13.568405, 0.341926, 4.426319, 0.967211, 50, 0.887985, 
0.481147, 2.074614, 13.585132, 0.384519, 4.470324, 1.070942, 50, 0.941533, 
0.531269, 2.943124, 13.604968, 0.429047, 4.516354, 1.218098, 50, 1.002437, 
0.584913, 3.816508, 13.628408, 0.475035, 4.564606, 1.408924, 50, 1.072884, 
0.642655, 4.602275, 13.656026, 0.521907, 4.615314, 1.639037, 50, 1.154836, 
0.705144, 5.202811, 13.688464, 0.569011, 4.668725, 1.899178, 50, 1.249794, 
0.773074, 5.537417, 13.726412, 0.615657, 4.725067, 2.176049, 50, 1.358597, 
0.847140, 5.563826, 13.770576, 0.661150, 4.784525, 2.454240, 50, 1.481309, 
0.928002, 5.290787, 13.821640, 0.704826, 4.847224, 2.718779, 50, 1.617248, 
1.016259, 4.776294, 13.880231, 0.746091, 4.913226, 2.957594, 50, 1.765128, 
1.112423, 4.112337, 13.946883, 0.784431, 4.982545, 3.163211, 50, 1.923288, 
1.216921, 3.402787, 14.022024, 0.819419, 5.055165, 3.333350, 50, 2.089956, 
1.330095, 2.742876, 14.105964, 0.850713, 5.131075, 3.470494, 50, 2.263480, 
1.452221, 2.206261, 14.198905, 0.878038, 5.210302, 3.580807, 50, 2.442521, 
1.583529, 1.841271, 14.300949, 0.901164, 5.292939, 3.672871, 50, 2.626164, 
1.724229, 1.674381, 14.412118, 0.919881, 5.379181, 3.756590, 50, 2.813994, 
1.874535, 1.717467, 14.532372, 0.933974, 5.469352, 3.842463, 50, 3.006117, 
2.034693, 1.975744, 14.661620, 0.943197, 5.563935, 3.941250, 50, 3.203179, 
2.205012, 2.454272, 14.799732, 0.947242, 5.663603, 4.063964, 50, 3.406378, 
2.385886, 3.161779, 14.946536, 0.945714, 5.769262, 4.222053, 50, 3.617480, 
2.577829, 4.110503, 15.101813, 0.938098, 5.882095, 4.427578, 50, 3.838859, 
2.781505, 5.309696, 15.265258, 0.923730, 6.003624, 4.693063, 50, 4.073512, 
2.997757, 6.747620, 15.436428, 0.901766, 6.135782, 5.030444, 50, 4.325034, 
3.227629, 8.352167, 15.614631, 0.871158, 6.280988, 5.448052, 50, 4.597437, 
3.472360, 9.913935, 15.798747, 0.830665, 6.442216, 5.943749, 50, 4.894625, 
3.733320, 10.953831, 15.986947, 0.778913, 6.622995, 6.491441, 50, 5.219197, 
