Delta Time, Position, Velocity, 
50, 0.000313, 0.012500, 
50, 0.001178, 0.017317, 
50, 0.003126, 0.038946, 
50, 0.006585, 0.069180, 
50, 0.011982, 0.107947, 
50, 0.019739, 0.155129, 
50, 0.030266, 0.210550, 
50, 0.043964, 0.273967, 
50, 0.061005, 0.340807, 
50, 0.081332, 0.406551, 
50, 0.104882, 0.470988, 
50, 0.131578, 0.533918, 
50, 0.161336, 0.595162, 
50, 0.194064, 0.654570, 
50, 0.229666, 0.712036, 
50, 0.268042, 0.767524, 
50, 0.309097, 0.821088, 
50, 0.352742, 0.872909, 
50, 0.398909, 0.923330, 
50, 0.447553, 0.972898, 
50, 0.498674, 1.022404, 
50, 0.552319, 1.072907, 
50, 0.608606, 1.125743, 
50, 0.667731, 1.182499, 
50, 0.729978, 1.244940, 
50, 0.795722, 1.314886, 
50, 0.865425, 1.394047, 
50, 0.939617, 1.483841, 
50, 1.018878, 1.585214, 
50, 1.103804, 1.698530, 
50, 1.194980, 1.823527, 
50, 1.292950, 1.959386, 
50, 1.398193, 2.104863, 
50, 1.511117, 2.258477, 
50, 1.632052, 2.418704, 
50, 1.761259, 2.584145, 
50, 1.898942, 2.753648, 
50, 2.045261, 2.926387, 
50, 2.200356, 3.101901, 
50, 2.364361, 3.280106, 
50, 2.537426, 3.461294, 
50, 2.719733, 3.646134, 
50, 2.911516, 3.835671, 
50, 3.113084, 4.031350, 
50, 3.324835, 4.235033, 
50, 3.547287, 4.449033, 
50, 3.781092, 4.676110, 
50, 4.027063, 4.919405, 
50, 4.286173, 5.182202, 
50, 4.559540, 5.467341, 
50, 4.848342, 5.776039, 
50, 5.153632, 6.105799, 
50, 5.476001, 6.447389, 
50, 5.815092, 6.781807, 
50, 6.169088, 7.079926, 
50, 6.534515, 7.308533, 
50, 6.906676, 7.443233, 
50, 7.280721, 7.480896, 
50, 7.652782, 7.441211, 
50, 7.987781, 6.699996, 
50, 8.260351, 5.451389, 
50, 8.539984, 5.592665, 
50, 8.826661, 5.733535, 
50, 9.120381, 5.874396, 
50, 9.421165, 6.015692, 
50, 9.728750, 6.151694, 
50, 10.042576, 6.276521, 
50, 10.362099, 6.390462, 
50, 10.686793, 6.493871, 
50, 11.016151, 6.587168, 
50, 11.349693, 6.670837, 
50, 11.686963, 6.745414, 
50, 12.027538, 6.811482, 
50, 12.371352, 6.876294, 
50, 12.718725, 6.947456, 
50, 13.070034, 7.026184, 
50, 13.425721, 7.113726, 
50, 13.786283, 7.211255, 
50, 14.152267, 7.319675, 
50, 14.524232, 7.439290, 
50, 14.902697, 7.569310, 
50, 15.288055, 7.707166, 
50, 15.680443, 7.847753, 
50, 16.079587, 7.982877, 
50, 16.484658, 8.101425, 
50, 16.894199, 8.190821, 
50, 17.306194, 8.239891, 
50, 17.718307, 8.242273, 
50, 18.128240, 8.198655, 
50, 18.534065, 8.116503, 
50, 18.934438, 8.007447, 
50, 19.328632, 7.883880, 
50, 19.716450, 7.756369, 
50, 20.098075, 7.632495, 
50, 20.473919, 7.516874, 
50, 20.844507, 7.411772, 
50, 21.210400, 7.317851, 
50, 21.572140, 7.234802, 
50, 21.930230, 7.161807, 
50, 22.285122, 7.097831, 
50, 22.637212, 7.041795, 
50, 22.986845, 6.992672, 
50, 23.334322, 6.949529, 
50, 23.674735, 6.808278, 
50, 24.012647, 6.758221, 
50, 24.351535, 6.777759, 
50, 24.691515, 6.799619, 
50, 25.032724, 6.824170, 
50, 25.375316, 6.851849, 
50, 25.719475, 6.883175, 
50, 26.065414, 6.918771, 
50, 26.413382, 6.959374, 
50, 26.763676, 7.005862, 
50, 27.116639, 7.059266, 
50, 27.472678, 7.120782, 
50, 27.832266, 7.191766, 
50, 28.195951, 7.273690, 
50, 28.564352, 7.368034, 
50, 28.938156, 7.476063, 
50, 29.318076, 7.598416, 
50, 29.704798, 7.734428, 
50, 30.098855, 7.881147, 
50, 30.500462, 8.032141, 
50, 30.909289, 8.176545, 
50, 31.324250, 8.299216, 
50, 31.743402, 8.383037, 
50, 32.163715, 8.406254, 
50, 32.581443, 8.354561, 
50, 32.993066, 8.232455, 
50, 33.395797, 8.054637, 
50, 33.787778, 7.839606, 
50, 34.167988, 7.604211, 
50, 34.536024, 7.360717, 
50, 34.891846, 7.116438, 
50, 35.235905, 6.881171, 
50, 35.569020, 6.662308, 
50, 35.891979, 6.459179, 
50, 36.205476, 6.269941, 
50, 36.510110, 6.092679, 
50, 36.806390, 5.925601, 
50, 37.094746, 5.767122, 
50, 37.375540, 5.615884, 
50, 37.649077, 5.470739, 
50, 37.915614, 5.330729, 
50, 38.175367, 5.195059, 
50, 38.428520, 5.063069, 
50, 38.675231, 4.934211, 
50, 38.915632, 4.808032, 
50, 39.149840, 4.684154, 
50, 39.377953, 4.562264, 
50, 39.600058, 4.442100, 
50, 39.816230, 4.323445, 
50, 40.026536, 4.206117, 
50, 40.231035, 4.089967, 
50, 40.429778, 3.974871, 
50, 40.622814, 3.860726, 
50, 40.810187, 3.747448, 
50, 40.991935, 3.634973, 
50, 41.168098, 3.523248, 
50, 41.338709, 3.412233, 
50, 41.503804, 3.301900, 
50, 41.663416, 3.192232, 
50, 41.817577, 3.083220, 
50, 41.966320, 2.974862, 
50, 42.109678, 2.867163, 
50, 42.247685, 2.760136, 
50, 42.380375, 2.653798, 
50, 42.507784, 2.548170, 
50, 42.629947, 2.443275, 
50, 42.746904, 2.339143, 
50, 42.858694, 2.235800, 
50, 42.965358, 2.133276, 
50, 43.066938, 2.031601, 
50, 43.163478, 1.930800, 
50, 43.255023, 1.830900, 
50, 43.341619, 1.731920, 
50, 43.423313, 1.633877, 
50, 43.500152, 1.536784, 
50, 43.572185, 1.440644, 
50, 43.639457, 1.345457, 
50, 43.702018, 1.251213, 
50, 43.759913, 1.157897, 
50, 43.813187, 1.065483, 
50, 43.861884, 0.973939, 
50, 43.906045, 0.883225, 
50, 43.945710, 0.793294, 
50, 43.980914, 0.704090, 
50, 44.011692, 0.615551, 
50, 44.038072, 0.527609, 
50, 44.060082, 0.440191, 
50, 44.077743, 0.353218, 
50, 44.091317, 0.271485, 
50, 44.101331, 0.200269, 
50, 44.108329, 0.139976, 
50, 44.112856, 0.090533, 
50, 44.115450, 0.051889, 
50, 44.116651, 0.024012, 
50, 44.116995, 0.006887, 
50, 44.117021, 0.000505, 
50, 44.117021, 0.000000, 
